번호,품목명,구분,질문,답변
24, TV, 품질_서로 다른 하자 발생으로 인한 교환,TV를 사용하던 중 1년 내 AS센터를 3차례 방문하였으나 최근 또 고장이 났습니다. 이에 제조사에 다른 제품으로 교환을 요구했으나 제조사는 서로 다른 하자가 발생한 것으로 교환이 어렵다고 합니다. 어떻게 대응해야 하나요?,"제품 교환은 어려울 수 있으나, 수리를 요구할 수 있습니다.   텔레비전(TV) 관련 「소비자분쟁해결기준」에서는 품질보증기간 이내에 동일하자에 대해 2회까지 수리하였으나 하자가 재발하는 경우 또는 여러 부위 하자에 대해 4회까지 수리하였으나 하자가 재발하는 경우는 수리 불가능 한 것으로 보아 제품교환 또는 구입가 환급하도록 규정하고 있습니다.품질보증기간은 제조자가 품질보증서에 표시한 기간으로 볼 수 있으나, 해당 기간이 「소비자분쟁해결기준」에서 정한 기한보다 짧은 경우에는 「소비자분쟁해결기준」에서 정한 기간을 적용해야 합니다.동일부위가 아닌 여러 부위의 수리는 4회가 기준이나 「소비자분쟁해결기준」에서 말하는 수리횟수는 AS센터 방문횟수가 아닌 증상 확인 후 수리·교체한 횟수를 기준으로 하는 바, AS 센터를 3차례 방문하였더라도 실제 수리·교체를 하지 않은 경우에는 횟수에 포함되지 않아 교환이 아닌 수리만 요구할 수 있습니다."
25, TV, 품질_설치 도중 제품 파손,"설치기사가 TV를 설치하던 중 TV가 엎어져 제품이 파손되었는데, 어떻게 대응해야 하나요?",사업자에게 제품 교환을 요구할 수 있습니다.   텔레비전(TV) 관련 「소비자분쟁해결기준」에서는 사업자가 제품설치 중 발생된 피해에 대해 제품교환 해주도록 규정하고 있습니다.다만 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다.
26, TV, 부당행위_부품을 보유하고 있지 않아 수리 불가능,구입한지 3년 정도 된 TV를 사용하던 중 바닥에 떨어뜨려 고장이 나 수리를 의뢰했습니다. 그러나 제조사는 해당 모델은 단종되었고 현재 보유부품이 없어 수리가 불가능하다고 합니다.,"품질보증기간이내 유상수리에 해당하는 금액 징수 후 교환을 요구할 수 있고, 품질보증기간 이후에는 정액감가상각비를 공제한 금액에 구입가 10% 가산해 환급을 요구할 수 있습니다.   텔레비전(TV) 관련 「소비자분쟁해결기준」에 따르면 TV는 품질보증기간 1년, 부품보유기간 9년으로 규정하고 있습니다. 이때 텔레비전(TV) 관련 「소비자분쟁해결기준」에서는 부품의무보유기간 이내에 수리용 부품을 보유하고 있지 않아 발생한 피해에 대해서는 품질보증기간 이내인 경우 제품을 교환받거나 구입가 환급을 규정하고 있으며, 품질보증기간 이후에는 제품의 정액감가상각비를 공제한 잔여금액에 구입가의 10%를 가산하여 환급하도록 규정하고 있습니다.다만 「소비자분쟁해결기준」은 소비자와 사업자 사이에 발생하는 분쟁을 원활하게 해결하기 위한 합의 또는 권고의 기준을 제시한 것으로 「소비자분쟁해결기준」은 강제력을 가지지 못합니다. 사업자 약관이나 규정 등이 존재한다면 사업자 약관 또는 규정을 적용해야 하며 다만 분쟁해결 방법에 관한 별도의 의사표시가 없는 때에는 「소비자분쟁해결기준」을 적용할 수 있습니다."
27, 각종공연관람, 계약해제·해지_사업자 귀책_공연 취소,"온라인 사이트를 통해 뮤지컬 공연 관람권 2매를 구입하고 105,000원을 지급했습니다. 공지사항을 통해 공연업자의 사유로 공연이 취소된다고 통보를 받았습니다. 보상기준이 어떻게 되나요?","입장료 환급 및 입장료의 10% 배상을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 공연이 취소되거나 관람일이 연기되어 고객이 입장료의 환불을 요구할 때 공연업자의 귀책사유로 취소된 경우 입장료 환급 및 입장료의 10% 배상하도록 명시하고 있습니다.   따라서, 공연업자로부터 공연업자의 사유로 공연의 취소를 통보받았다면, 입장료 환급 및 입장료의 10% 배상을 요구할 수 있습니다."
28, 각종공연관람, 계약해제·해지_사업자 귀책_공연 연기,"온라인 사이트를 통해 연극 관람권 1매를 구입하고 75,000원을 지급하였습니다. 공연업자의 사정으로 관람일이 연기된다고 안내를 받았습니다. 전액 환급이 가능한가요?"," 입장료 환급 및 입장료의 10% 배상을 요구할 수 있습니다.    공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 공연이 취소되거나 관람일이 연기되어 고객이 입장료의 환불을 요구할 때 공연업자의 귀책사유로 취소된 경우 입장료 환급 및 입장료의 10% 배상하도록 명시하고 있습니다.   따라서, 공연업자로부터 공연업자의 사유로 공연이 연기되었음을 통보 받았다면, 입장료 환급 및 입장료의 10% 배상을 요구할 수 있습니다. "
29, 각종공연관람," 계약해제·해지_전염병, 전염성 독감 등과 같은 사유로 공연을 관람하지 못한 경우",콘서트 예매 후 관람 2일 전 A형 독감에 걸렸습니다. 이에 취소를 문의하니 업체측에서는 티켓을 양도할 것을 권유합니다. 전염성 독감으로 관람이 어려운데 환급이 불가능한가요?,"관람일자를 조정하거나 위약금 없이 취소를 요구할 수 있습니다. 단, 공연은 실내 공연에 한하며 전염병, 전염성 독감 등은 소비자가 입증해야 합니다.    공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 전염병, 전염성 독감 등과 같은 사유로 공연을 관람하지 못한 경우 후일 공연기회 부여 또는 위약금 없이 취소하도록 명시하고 있습니다.   따라서, A형 독감 등과 같은 사유로 공연을 관람하지 못한 경우 관람일자를 조정하거나 위약금 없이 취소를 요구할 수 있습니다.   단, 공연은 실내 공연에 한하며 전염병, 전염성 독감 등은 소비자가 입증해야 합니다. "
30, 각종공연관람, 계약해제·해지_소비자 사유_공연일 10일전까지,좋아하는 가수의 팬미팅에 참석하기 위해 3달 전 티켓을 예매해두었으나 공연 10일 전 갑자기 가지 못하게 되었습니다. 위약금 기준이 어떻게 되나요?,"소비자의 사유로 공연 10일 전 해지시 전액환급을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 관객의 환급 요구시 공연일 10일전까지 해지할경우 전액환급을 하도록 명시하고 있습니다.   따라서, 소비자의 사유로 공연 10일 전 해지시 전액환급을 요구할 수 있습니다."
31, 각종공연관람, 계약해제·해지_소비자 사유_공연일 7일전까지,락 페스티벌을 가기 위해 예매하였으나 8일 전 개인 사정으로 갈 수 없게 되었습니다. 위약금 기준이 어떻게 되나요?,"소비자의 사유로 공연 8일 전 해지시 계약금액의 10% 공제한 후 환급을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 관객의 환급 요구시 공연일 7일전까지 해지할 경우 10% 공제 후 환급하도록 명시하고 있습니다.   따라서, 소비자의 사유로 공연 8일 전 해지시 계약금액의 10% 공제한 후 환급을 요구할 수 있습니다."
32, 각종공연관람, 계약해제·해지_소비자 사유_공연일 3일전까지,뮤지컬 공연을 예매하였으나 3일 전 개인 사정으로 갈 수 없게 되었습니다. 위약금 기준이 어떻게 되나요?,"소비자의 사유로 공연 3일 전 해지시 계약금액의 20% 공제한 후 환급을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 관객의 환급 요구시 공연일 3일전까지 해지할 경우 20% 공제 후 환급하도록 명시하고 있습니다.   따라서, 소비자의 사유로 공연 3일 전 해지시 계약금액의 20% 공제한 후 환급을 요구할 수 있습니다."
33, 각종공연관람, 계약해제·해지_소비자 사유_공연일 1일전까지,스탠딩 코미디 관람을 예매하였으나 공연 1일 전 개인 사정으로 갈 수 없게 되었습니다. 위약금 기준이 궁금합니다.,"소비자의 사유로 공연 1일 전 해지시 계약금액의 30% 공제한 후 환급을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 관객의 환급 요구시 공연일 1일전까지 해지할 경우 30% 공제 후 환급하도록 명시하고 있습니다.   따라서, 소비자의 사유로 공연 1일 전 해지시 계약금액의 30% 공제한 후 환급을 요구할 수 있습니다."
34, 각종공연관람, 계약해제·해지_소비자 사유_공연당일 공연시작 전까지,난타 공연을 예매하였으나 공연 당일 개인 사정으로 갈 수 없게 되었습니다. 위약금 기준이 어떻게 되나요?,"소비자의 사유로 공연 당일, 공연시작 전 해지시 계약금액의 90% 공제한 후 환급을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 관객의 환급 요구시 공연일 당일 공연시작 전까지 해지할 경우 90% 공제 후 환급하도록 명시하고 있습니다.   따라서, 소비자의 사유로 공연 당일, 공연시작 전 해지시 계약금액의 90% 공제한 후 환급을 요구할 수 있습니다."
35, 각종공연관람, 계약해제·해지_소비자 사유_공연 3일전까지는 예매후 24시간 이내 취소 시,음악회를 보러 가기 위해 예매사이트를 통해 티켓을 구입했습니다. 결제 직후 공연이 약 4일 정도 남은 상황에서 변심으로 취소를 문의하니 공연업체에서는 결제 당시 환급 규정(약관)을 고지했다는 사유로 환급이 불가하다고 합니다. 환급이 가능한가요?,"소비자의 사유로 공연 3일전까지는 예매후 24시간 이내 취소 시 전액환급을 요구할 수 있습니다.   공정거래위원회에서 고시한 공연업(영화 및 비디오물 상영업 제외) 관련 「소비자분쟁해결기준」 에 따르면 공연 3일전까지는 예매후 24시간 이내 취소시 전액환급하도록 명시하고 있습니다.   따라서, 소비자의 사유로 공연 3일전까지는 예매후 24시간 이내 취소 시 전액환급을 요구할 수 있습니다.   참고로, 비영업일은 시간 계산에서 제외됩니다."
